Stn Id,Stn Name,CIMIS Region,Month Year,Total ETo (mm),qc,Total Precip (mm),qc,Avg Sol Rad (W/sq.m),qc,Avg Vap Pres (kPa),qc,Avg Max Air Temp (C),qc,Avg Min Air Temp (C),qc,Avg Air Temp (C),qc,Avg Max Rel Hum (%),qc,Avg Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Avg Dew Point (C),qc,Avg Wind Speed (m/s),qc,Avg Soil Temp (C),qc
2,FivePoints,San Joaquin Valley,Feb 2024,51.90, ,102.10, ,132, ,1.1, ,16.7, ,5.5, ,10.8, ,100, ,59, ,84, ,8.2, ,2.1,K,13.5,K
2,FivePoints,San Joaquin Valley,Mar 2024,101.45, ,22.90,K,201,K,1.0, ,19.9, ,6.2, ,12.9, ,93, ,43, ,67, ,6.7, ,2.5,K,15.5,K
2,FivePoints,San Joaquin Valley,Apr 2024,143.08,K,16.00,K,246, ,1.1,K,24.1, ,7.9,K,16.0,K,88,K,36,K,58,K,7.4,K,2.6, ,17.4, 
2,FivePoints,San Joaquin Valley,May 2024,210.81, ,4.30, ,302, ,1.0, ,29.9, ,9.9,K,20.4,K,72, ,24, ,41,K,6.5,K,2.8, ,20.8, 
5,Shafter,San Joaquin Valley,Jan 2015,26.55,K,9.65,K,85,K,1.1,K,13.3, ,3.2,L,7.7,K,99, ,65, ,88,L,5.6,L,1.3, ,11.7,L
5,Shafter,San Joaquin Valley,Feb 2015,58.57,K,20.82,K,141,K,1.1,K,21.1,K,6.6,K,13.3,K,96,K,45,K,73,K,8.5,K,1.5, ,14.0, 
5,Shafter,San Joaquin Valley,Mar 2015,114.91, ,5.08, ,217, ,1.1, ,24.7,K,8.0,K,16.1,K,91, ,33, ,61,K,8.3,K,1.5, ,17.4,K
5,Shafter,San Joaquin Valley,Apr 2015,149.30, ,3.30, ,282, ,1.0, ,24.9, ,7.8, ,16.5, ,83, ,28, ,51, ,6.0, ,1.8, ,18.8, 
5,Shafter,San Joaquin Valley,May 2015,178.00, ,3.56, ,297, ,1.1, ,26.9,K,11.4, ,19.2, ,79, ,29, ,49, ,8.0, ,2.0,K,21.8, 
5,Shafter,San Joaquin Valley,Jun 2015,197.60, ,0.51, ,322, ,1.5,K,34.0, ,16.3,K,25.3, ,79, ,26, ,46,K,12.8,K,1.6, ,25.6, 
5,Shafter,San Joaquin Valley,Jul 2015,198.24, ,0.51, ,310,K,1.6,K,33.6,K,17.9,K,26.1, ,78, ,31, ,49,K,14.3,K,1.7,K,27.9, 
5,Shafter,San Joaquin Valley,Aug 2015,183.01, ,0.00, ,286, ,1.6, ,34.3, ,16.2, ,25.4, ,81, ,28, ,48, ,13.5, ,1.4, ,27.7, 
5,Shafter,San Joaquin Valley,Sep 2015,144.18, ,0.51, ,241, ,1.3,K,32.7, ,14.2, ,23.4, ,81, ,24, ,46,K,11.0,K,1.3, ,26.0, 
5,Shafter,San Joaquin Valley,Oct 2015,94.42, ,24.38,K,177,K,1.4,K,28.1,K,12.3,K,19.5,K,90, ,36, ,61,L,11.6,L,1.3, ,23.4, 
5,Shafter,San Joaquin Valley,Nov 2015,53.86, ,6.50, ,133,K,0.9, ,18.1,K,2.2, ,9.3, ,96, ,41, ,72, ,4.4, ,1.2, ,16.3, 
5,Shafter,San Joaquin Valley,Dec 2015,37.00,K,15.10, ,99, ,0.8,K,14.4, ,0.2,K,6.7,K,95,K,46,K,75,K,2.6,K,1.3, ,12.0,K
5,Shafter,San Joaquin Valley,Jan 2016,31.51, ,29.10, ,81, ,1.0, ,15.2, ,4.2,K,9.2, ,96, ,59, ,82, ,6.2, ,1.5, ,11.6, 
5,Shafter,San Joaquin Valley,Feb 2016,67.88, ,23.80, ,160, ,1.0, ,20.2,K,4.2, ,11.7, ,95, ,43, ,72, ,6.7, ,1.5, ,12.7, 
5,Shafter,San Joaquin Valley,Mar 2016,103.04, ,2.10, ,203, ,1.1,K,21.6,K,7.0,K,14.1, ,91, ,38, ,65,K,7.4,K,1.8,K,15.4, 
5,Shafter,San Joaquin Valley,Apr 2016,138.83, ,38.30,K,261, ,1.1,K,25.0, ,10.0,K,17.2, ,86, ,32, ,56,K,8.1,K,1.8,K,18.9, 
5,Shafter,San Joaquin Valley,May 2016,187.65,K,1.80,L,302,L,1.2,L,28.6,L,13.4,L,20.9,L,79,L,28,L,49,L,9.6,L,2.0,L,22.4,L
5,Shafter,San Joaquin Valley,Jun 2016,207.00,K,0.00,K,340,K,1.4,K,34.2,K,15.4,K,25.3,K,76,K,22,K,43,K,11.8,K,1.6,K,25.8,K
5,Shafter,San Joaquin Valley,Jul 2016,214.01, ,0.00, ,334, ,1.5, ,35.5, ,16.6, ,26.4, ,77, ,23, ,43, ,12.7, ,1.5, ,27.3, 
5,Shafter,San Joaquin Valley,Aug 2016,189.85, ,0.00, ,300,K,1.5, ,34.8, ,16.0, ,25.5, ,80, ,25, ,45, ,12.6, ,1.4, ,27.5, 
5,Shafter,San Joaquin Valley,Sep 2016,152.13, ,0.00, ,252, ,1.2, ,32.1,K,13.1, ,22.6,K,77, ,22, ,42,K,9.0,K,1.5, ,24.9, 
5,Shafter,San Joaquin Valley,Oct 2016,94.44,K,10.00,K,179,K,1.2,K,26.1,K,9.4,K,17.5,K,89,L,34,L,60,L,9.4,L,1.4,K,21.6,K
